id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_low_gain;mixing_weight_high_gain;mixing_weight_low_loss;mixing_weight_high_loss;choice_stickiness;response_stickiness
10_090;0.657834317316594;0.963571101143167;0.786645345845554;0.869502468704809;0.804273334382287;0.768329012062291;0.685105229797966;-0.0349009358063537;0.0320843083881627
10_091;0.58969712448841;0.841747552581675;0.513173375653378;0.851456822647375;0.815055599287628;0.908528146360745;0.874297623196826;0.232101127220119;0.00136363933238045
10_092;0.365720139068143;0.96977671897057;0.795804363592705;0.877422463872994;0.547860795095796;0.852244139639541;0.909954524025606;0.916965156119256;-0.452213703305335
10_093;0.382778354399958;0.973219290955281;0.661293840609;0.929504582651705;0.79527288962379;0.849675055520908;0.935824955634545;0.993150899800555;-0.204740643103188
10_094;0.573820395211819;0.800049830577345;0.453144719297338;0.59614867746367;0.78202309215291;0.873697799741383;0.796585606230499;0.565076495740729;0.350256048503324
10_095;0.442425493356707;0.936288057650941;0.746322023903564;0.716436315418372;0.917315298455839;0.791182061628027;0.856225970084787;-0.105412688223108;-0.228419037584362
10_096;0.243592084019968;0.940163573112653;0.301036513940121;0.556710191895841;0.897646822728258;0.775177560032773;0.814651609930607;0.176264820647651;-0.335429784833314
10_097;0.582039686074425;0.959269250541858;0.564652321790009;0.92075753089733;0.886082788312794;0.738131889571674;0.903124701930551;0.325911464105412;-0.0825612274260372
10_099;0.580386523965069;0.943910357694275;0.473553419780709;0.771462916854166;0.858412673696221;0.797758608596348;0.932319656605713;-0.395556883024852;-0.30329209411302
10_101;0.326213130311301;0.864263187345444;0.698077663080928;0.635053958410807;0.66453688238042;0.731410200847807;0.710113043000786;0.57456737280975;-1.55182992545103
10_102;0.583896911519886;0.870539488823925;0.43637127881826;0.62645774622316;0.887111281743469;0.783838299595878;0.938715506244864;-0.712805904970112;-0.182875547997718
10_103;0.853120414184365;0.95914507588691;0.579109715387277;0.786192250086364;0.923656000156504;0.912342285117269;0.959237005343134;-0.339089532828758;0.185907831142582
10_104;0.3753170619257;0.234482614016167;0.0904093740129609;0.0606022408034298;0.882635139043271;0.0662712783987318;0.871288004518888;0.499998585331396;-0.426532831346599
10_105;0.486369578868356;0.97187736137622;0.956418663789543;0.286529345489109;0.165389942296746;0.467456854523618;0.321886814232192;-0.773128829750257;-0.0385345747669927
10_106;0.573950558081065;0.963299364087781;0.750884443388727;0.649343256783917;0.691549073526029;0.860290770571964;0.75523740704521;-0.0239008744737983;-0.396256304006189
10_107;0.438311927381555;0.888980122516248;0.662762497445726;0.868557975374082;0.604465701639287;0.688223985569686;0.742222381370831;0.331254802926251;0.391728562058296
10_108;0.647668197714119;0.921859301249516;0.649635794197759;0.819410085824607;0.706902390826582;0.681307681631836;0.826399831962641;-0.0232597597542233;-0.376991662004949
10_109;0.552538225355473;0.956675522453824;0.75802524873303;0.849970513557107;0.847124283045388;0.833339962338992;0.747548850479123;0.068798384214368;-0.18802317676266
10_110;0.511826094757265;0.914622293337795;0.669918144513155;0.863154660130504;0.845788271642271;0.726752629020573;0.881551735742618;-0.712539590120223;0.100741032951998
