id,aic,model
89,400.0056219,Hybrid-lwm
90,219.1892444,Hybrid-lwm
91,263.9074241,Hybrid-lwm
92,424.3296829,Hybrid-lwm
93,438.2575939,Hybrid-lwm
94,315.0150382,Hybrid-lwm
95,285.0091041,Hybrid-lwm
96,430.2991023,Hybrid-lwm
97,344.716424,Hybrid-lwm
98,247.5668491,Hybrid-lwm
99,340.3195348,Hybrid-lwm
100,384.0825426,Hybrid-lwm
101,361.9861856,Hybrid-lwm
102,237.8436908,Hybrid-lwm
