id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1
subject33;3.16028298338013;0.23208275252195;0.160061990393477;1.65464724408591e-09;0.0655057727189459;1.08066279917406e-09
subject34;3.90422732663189;0.182994674954244;0.0614861941125167;2.60680101784786e-09;1.61447142861767e-08;5.10593219180753e-09
subject35;10.1478739520621;0.21431056143302;0.542530117432591;0.622878082220964;0.455634919673691;0.714607498620121
subject36;4.4470755342161;0.609625311267971;0.516872627084576;0.800592778489881;0.03427439010164;0.377478711751839
subject37;4.94388321909485;0.0663829130372614;0.999999960173923;0.999999961980264;0.167116138995687;0.594165383170934
subject38;3.36290848290234;0.0119933667135884;1.52758175413967e-08;0.177966662097142;0.0128679540289753;1.55249026414505e-09
subject39;6.65816602583289;0.829430471663506;0.814909574871277;0.819632607148339;0.0688423462777073;0.523586256221166
subject40;4.89172432358101;0.671182254034142;8.54021855814261e-09;0.999999997727512;0.750902080214916;0.995625013705044
subject41;6.91651321084202;0.321762888959543;0.999999897619675;0.540875257494634;0.445490280269198;0.613488265502881
subject42;2.73858292495704;0.999999961741582;0.586728609118486;0.305292279929858;0.480096844446667;0.0163009318055339
subject43;6.06198415766847;0.107184507141799;0.399690082969536;0.569687073764823;0.176839802762583;0.406397854336457
subject44;12.9698621600468;0.0983007547268732;0.999999996152408;0.343013014988896;0.296653596790453;0.981846865525456
subject45;9.76350244219764;0.0738706134922445;0.942305456252131;0.546222155607472;0.257979823637131;0.435149256391639
subject46;3.36160165048699;1.67902158363349e-09;0.152341331817311;0.0251514298824039;0.0116664842685843;0.142008419611976
subject47;2.51010012899279;0.111404632093832;0.999999920710863;3.14782078805295e-09;0.171013490933119;0.0999319820661763
subject48;3.3638284916451;0.00291860851983381;0.203369728365236;0.264430082384954;0.0608476030933554;0.311740551989301
subject49;7.24243479165978;0.0343936317059933;2.14999951155932e-08;9.24024467263656e-10;3.96172406194582e-09;0.00808368953827007
subject51;7.45350696457746;0.838991139963995;0.398586850790567;0.966236478884712;0.4957063548959;0.596196026593378
subject52;4.5740999860969;0.338416820061821;0.269001840112164;0.727832039026241;4.4749940942675e-07;0.407175082474907
subject53;5.91280540420079;0.54042318640274;4.22067526980618e-08;0.999999967069844;0.826796937039271;0.788867203520682
subject54;5.39603923649181;0.0285681008844604;0.104250174137377;0.999999877772285;0.411972976301275;0.503362297876458
subject55;4.49703207163605;0.229841941861086;5.72602305121969e-08;0.999999996637102;3.42666129034862e-09;0.999999983497635
subject56;8.68209782102122;0.0655674587750336;2.46997250145776e-07;0.99999998058223;0.769303711777425;0.999999978281891
subject57;5.39057834647752;0.142915803413581;0.0147952549935095;0.143831615957145;0.0579245342734975;0.302683614766579
subject58;7.64098081799488;0.0743291730863735;0.499319840471939;0.0165147973212763;5.56684764712035e-09;0.155291888134171
subject59;4.91462420493424;0.771728446421669;0.728196425983543;0.52161725095509;0.338002794611236;0.64482188560225
subject60;3.25822445288915;0.0273342825601027;0.999999985426984;0.221710750562888;0.0250975033401219;3.06333256455597e-09
subject61;3.4934157146989;0.0773123641023833;5.56150870273305e-09;1.21972193408284e-09;1.02692401300453e-07;2.82140602353071e-09
subject62;3.60422115468376;0.931721929954451;0.232441713930138;0.153631245967774;0.514017687849985;0.262905721398577
subject63;6.03349684192657;0.1434317416575;0.593959418329324;0.472862134271214;0.213371634374729;0.417878049332511
subject64;4.92270910152509;0.743167729405762;0.999999975496827;0.771888953849353;0.392667338545718;0.573346491870662
subject66;4.715620233303;0.687416218021511;0.466624558779561;0.638593670303336;0.330906315512144;0.999999529292326
subject67;4.88219239450371;0.333861619440054;0.618601174864363;0.437136585807352;0.418073444754425;0.297516453308025
subject68;3.88198582052567;0.0772467830829978;0.868503427419791;0.390405684693989;0.0859895775939316;0.944930025753763
subject69;4.38736090266388;0.0539826533896158;5.91154614168021e-09;1.0767729025705e-09;1.61761944247889e-08;1.56319838276826e-09
subject70;2.03263633686257;0.391057661230999;0.999999954439527;0.207371325950361;1.90796224075917e-07;0.621457197937355
subject71;3.36160178713992;8.01773323000463e-10;0.759882661948491;0.718346698335698;0.0627760998575207;0.564989231177447
subject72;8.69033311431978;0.208369751550433;0.0834147305749819;0.490363480745663;0.240305208196423;0.443560024697206
subject73;6.63669818468319;0.778536147987305;0.651605947750116;0.768483924738246;0.439017903324682;0.603010264439563
subject74;4.35402987519568;1.45645042829534e-06;0.051049585108388;0.801545516458131;0.999999772997611;0.633692215774153
subject75;2.26962084227366;0.260008035205509;5.07044295832418e-08;0.153236921239453;0.24418036726964;0.531246327045634
subject76;7.5766214083554;0.999999998101439;0.18502178620038;0.780866554203672;0.735842546378336;0.871531782958246
subject77;5.14533173405699;0.271523253280462;0.76423252974927;0.310122796628955;0.105958297835349;0.0802689861677261
subject78;2.20922562990237;0.281538330415769;0.999999732311004;0.0576422250005926;0.492076686260205;0.0467016772524023
subject79;4.56993015725757;0.55732267371539;0.167043715359616;0.17824752058602;5.80765833068486e-06;0.3942161312208
subject80;5.72081880234867;0.646773127712296;2.55846315188182e-08;0.428116228043849;0.358458380178379;0.386894610111088
subject81;5.62105481416395;0.382233477297481;9.44645971605231e-07;0.532643519609843;0.000112931157091545;0.713965211477467
subject82;3.85775555602571;0.921509650950264;0.37137159629641;0.962381950238517;0.32078532235744;0.650149531045258
