被试编号,数据广度顺背分数,数据广度倒背分数,工作记忆广度,inverse_temperature,reward_learning_rate,eligibility_trace_decay,transition_learning_rate,mixing_weight_low_stable,mixing_weight_high_stable,mixing_weight_low_variable,mixing_weight_high_variable,fai_decay_wm,choice_stickiness,response_stickiness,points_bc
12-050,11,7,18,1.01998177,0.05891758,0.401675108,0.618709422,0.755524481,0.782741236,0.220392877,0.263934664,0.028068217,0.41317898,0.153486206,0.635327635
12-051,11,12,23,0.429372647,0.902642742,0.383430745,0.661933985,0.559057579,0.850934356,0.596661207,0.513651071,0.436849111,0.495939473,-0.092309382,0.552325581
12-053,12,6,18,1.263431025,0.077738004,0.088972384,0.766845404,0.138392251,0.240605892,0.139426207,0.403539367,0.77758239,0.430686426,-0.681651546,0.26910828
12-054,11,5,16,0.339681839,0.078466922,0.248345037,0.59687005,0.209413325,0.108050039,0.243126605,0.700641709,0.433976155,-0.222771488,1.145205061,0.193277311
12-055,11,8,19,0.371741515,0.60399634,0.551512903,0.600574424,0.751329491,0.456185621,0.705031949,0.416805764,0.516618878,1.060642765,-0.792982481,0.347338936
12-057,13,9,22,0.4705698,0.84883203,0.763176302,0.812209174,0.586815953,0.57944769,0.400283646,0.769489767,0.354996809,0.894413537,0.166114621,0.679378531
12-058,11,8,19,0.321427413,0.709718778,0.84287296,0.559245467,0.65312299,0.246553068,0.667116416,0.366630709,0.612949951,0.31388495,0.038690942,0.264285714
12-059,14,14,28,0.910982128,0.477328012,0.712177779,0.5358035,0.594743593,0.763411101,0.695759565,0.847820124,0.879401662,0.652499722,-0.195490829,0.641643059
12-060,11,9,20,0.939208667,0.462677058,0.17934914,0.778759016,0.436763371,0.602946863,0.268235979,0.525110659,0.101353594,0.795289897,-0.040533247,0.46685879
12-061,9,7,16,0.565819904,0.919129059,0.913305631,0.525359153,0.611485451,0.605263957,0.443133706,0.81541147,0.758485179,0.69061783,-0.410811229,0.434659091
12-062,12,9,21,0.520437237,0.172356629,0.501222248,0.746347025,0.105652777,0.327002943,0.647975245,0.71977274,0.571434259,0.408329978,0.091032723,0.45505618
12-063,12,5,17,0.56891536,0.687227838,0.65819775,0.620467521,0.718930661,0.487729628,0.54459587,0.608642006,0.260906161,0.291798858,0.184996657,0.515406162
